SA2 code,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
205021082,45059.0,44548.0,44542.0,44784.5,45150.230364038434,45223.97378056629,45593.293085103156,46012.170333647664,46487.736612268134,47028.27838001365
205021083,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205021084,44002.0,44329.0,46725.0,47648.5,49061.12888443018,49352.03066629067,50815.16390289804,52509.98828002058,54480.2585991942,56779.98185217395
205021085,45332.0,42589.0,43739.0,44010.5,44420.27791273235,44502.996576533355,44917.36008177567,45387.85939028675,45922.71553435735,46531.51935869821
205021086,45451.0,45800.0,47931.0,49175.25,51090.07458573262,51487.951692218805,53492.83007655389,55836.144232859704,58587.855638024455,61836.0917380554
205031087,44847.0,44045.0,47090.0,47833.5,48966.358587279676,49198.29628706504,50363.47785287836,51705.3519717964,53255.1820500741,55051.00278806421
205031088,27364.0,32022.0,21230.0,20856.0,20304.882901554403,20197.572121452926,19663.853894409353,19079.287253377366,18441.20001532926,17747.359569075692
205031089,47026.0,49538.0,49777.0,50830.0,52442.91329328807,52775.731990866254,54450.38632277805,56394.15419441417,58658.9551725756,61309.18051187464
205031090,49073.0,50610.0,53338.0,54438.75,56123.94969053489,56471.42299824342,58219.54588057824,60247.063150696704,62607.4552502904,65366.93267371539
205031091,45021.0,46341.0,48136.0,49460.25000000001,51501.271358105165,51926.32054330525,54069.10650327716,56579.217680135494,59534.18869490021,63032.15199915545
205031092,59684.0,70567.0,76558.0,84995.0,99045.1870803835,102319.74066092582,119233.81205691771,141407.6403576454,170992.30488409934,211238.31782429523
205031093,45522.0,47392.0,49340.0,50514.0,52316.90137819214,52690.3511687353,54570.928963792925,56762.088907923324,59326.12199590819,62340.95831613855
205041094,59803.0,59177.0,60667.0,61128.0,61824.75461123841,61965.693895573124,62671.99678394389,63475.64450837578,64391.34158791987,65436.3618375564
205041095,53941.0,54040.0,56148.0,56997.25,58290.39262028478,58554.888858438106,59883.37088886738,61411.82106033276,63175.21581276488,65215.99879868007
205041096,50457.0,49917.0,50880.0,51013.24999999999,51213.64845408313,51253.88559238801,51455.22934991117,51682.630896925766,51939.58823953717,52230.102492219106
205041097,62237.0,64109.0,66226.0,67282.25,68891.89447262028,69221.52511709543,70877.56434424788,72785.17949741894,74989.00628940397,77543.38109612037
205041098,62655.0,62653.0,64814.0,65425.5,66351.4039694356,66539.20544840916,67480.87061639066,68555.23621864473,69783.14066544289,71189.27552316587
205051099,30856.0,27804.0,33603.0,35398.5,38235.657697973395,38848.56836127766,41962.24591206215,45745.88639514384,50386.28949867599,56136.29898944606
205051100,55479.0,53400.0,55265.0,54823.25,54165.92156371573,54036.032144458855,53388.14241678814,52668.00566472916,51868.77974259804,50983.29467636219
205051101,51056.0,52197.0,53970.0,54422.5,55106.940835186215,55245.55056685893,55940.34244099744,56731.81355199994,57634.81643390251,58666.864456680596
205051102,48697.0,50211.0,49545.0,48726.5,47519.03284135634,47283.52373823403,46111.81425655844,44826.30608322761,43420.42655426773,41888.415979767924
205051103,58241.0,59498.0,62291.0,63099.00000000001,64326.72130805414,64577.04314018193,65833.5228288352,67274.56581060008,68931.22534878533,70840.86262253087
205051104,44023.0,45840.0,48524.0,47127.0,45091.829187618496,44702.37272045728,42771.90899043259,40693.92485473411,38469.76655092417,36104.34696056845
206011105,63199.0,66873.0,68893.0,70995.5,74245.49721488394,74925.25201389528,78355.14349109647,82390.40978096884,87163.8762304324,92845.15721792156
