id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,min_pri_latitude,min_pri_longitude,min_pri_distance,min_pri_duration,min_sec_latitude,min_sec_longitude,min_sec_distance,min_sec_duration,min_other_latitude,min_other_longitude,min_other_distance,min_other_duration
435114227,1/4 Middleborough Road,Burwood East,3151,480,House,3,1,2,0,N,-37.85687356,145.1317226,-37.85165,145.12591,,,-37.86909,145.13231,,,-37.8572,145.14212,,
434969323,310/9 foundation boulevard,Burwood East,3151,600,Apartment,2,2,1,0,N,-37.84977157,145.1353463,-37.85165,145.12591,,,-37.88273,145.10026,,,-37.8572,145.14212,,
420173934,28 Bellevue Avenue,Burwood East,3151,575,House,5,2,2,0,N,-37.852162,145.155291,-37.85973,145.15181,,,-37.84852,145.16373,,,-37.84789,145.14829,,
432075414,273 Burwood Street,Burwood East,3151,150,House,1,1,0,0,N,-37.85321662,145.1579427,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84789,145.14829,,
435145059,7  Betts Way,Burwood East,3151,700,House,4,2,2,0,N,-37.860982,145.165517,-37.86708,145.15904,,,-37.86541,145.17682,,,-37.85114,145.1806,,
434874307,22 Jayson Street,Burwood East,3151,440,House,3,1,1,0,N,-37.847279,145.161152,-37.84675,145.16328,,,-37.84852,145.16373,,,-37.84018,145.15079,,
435048939,2C Appledale Way,Wantirna South,3152,750,House,4,2,2,0,N,-37.88277933,145.23435307,-37.88228,145.22958,,,-37.88864,145.2362,,,-37.8779,145.24279,,
435049207,88 Jenola Parade,Wantirna South,3152,700,House,4,2,2,0,N,-37.87463876,145.2267898,-37.88228,145.22958,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435147419,511A/400-408 Burwood Highway,Wantirna South,3152,370,Apartment,1,1,1,0,N,-37.86944943,145.23581584,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435143963,20 Dumfries Way,Wantirna,3152,575,House,5,3,3,0,N,-37.845841,145.243469,-37.84907,145.25305,,,-37.83843,145.2321,,,-37.8779,145.24279,,
435041039,711A/400 Burwood Highway,Wantirna South,3152,360,Apartment,1,1,1,0,N,-37.86944943,145.23581584,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435138951,17 Harland Square,Wantirna,3152,550,House,3,2,2,0,N,-37.858525,145.237666,-37.85487,145.23616,,,-37.8576,145.22997,,,-37.8779,145.24279,,
434659347,11B Templeton Street,Wantirna,3152,740,Townhouse,4,2,1,0,N,-37.864217,145.224878,-37.86547,145.2192,,,-36.32748,145.41558,,,-37.8779,145.24279,,
434932555,5 Dundee Place,Wantirna,3152,520,House,4,2,2,0,N,-37.849144,145.244368,-37.84907,145.25305,,,-37.83843,145.2321,,,-37.8779,145.24279,,
426135954,4 Cynthia Court,Wantirna South,3152,520,House,4,2,1,0,N,-37.863417,145.252111,-37.86116,145.25498,,,-37.87321,145.25904,,,-37.8779,145.24279,,
435030835,14 Newcombe Court,Wantirna South,3152,650,House,4,2,2,0,N,-37.887845,145.227143,-37.88984,145.22596,,,-37.88864,145.2362,,,-37.8779,145.24279,,
435130919,56 Tyner Road,Wantirna South,3152,430,House,3,1,2,0,N,-37.875525,145.237341,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435129047,2 Balmain Court,Wantirna,3152,470,House,3,1,2,0,N,-37.860606,145.232808,-37.86094,145.23229,,,-37.8576,145.22997,,,-37.8779,145.24279,,
435027263,1/177 Stud Road Road,Wantirna South,3152,650,Townhouse,4,3,2,0,N,-37.858066,145.241314,-37.85487,145.23616,,,-37.8576,145.22997,,,-37.8779,145.24279,,
435026407,3/177 Stud Road,Wantirna South,3152,650,Townhouse,4,3,2,0,N,-37.858066,145.241314,-37.85487,145.23616,,,-37.8576,145.22997,,,-37.8779,145.24279,,
435027079,4/177 Stud Road,Wantirna South,3152,580,Townhouse,3,2,1,0,N,-37.858066,145.241314,-37.85487,145.23616,,,-37.8576,145.22997,,,-37.8779,145.24279,,
434727947,11 Henry Road,Wantirna South,3152,450,House,3,1,6,0,N,-37.871058,145.23872,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435123803,18 Hamsterley Square,Wantirna,3152,580,House,4,2,2,0,N,-37.865428,145.233443,-37.86094,145.23229,,,-37.8576,145.22997,,,-37.8779,145.24279,,
432483214,2/58 Fonteyn Drive,Wantirna South,3152,450,House,3,2,2,0,N,-37.88174869,145.22056909,-37.88014,145.2153,,,-36.70818,142.21775,,,-37.8779,145.24279,,
435115467,2 Berkley Street,Wantirna South,3152,450,House,3,1,2,0,N,-37.863537,145.246231,-37.86116,145.25498,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435114955,3/12 Gresford Road,Wantirna,3152,460,Townhouse,3,2,2,0,N,-37.84804383,145.23622183,-37.85338,145.23507,,,-37.83843,145.2321,,,-37.8779,145.24279,,
435114903,1/4 Berkley Street,Wantirna South,3152,540,Townhouse,3,2,2,0,N,-37.86385779,145.24653926,-37.86116,145.25498,,,-35.73042,143.91342,,,-37.8779,145.24279,,
434807791,24 Moonah Road,Wantirna South,3152,450,House,3,1,1,0,N,-37.858263,145.244254,-37.85487,145.23616,,,-37.8576,145.22997,,,-37.8779,145.24279,,
434908051,20 Nottingham Square,Wantirna,3152,460,House,3,1,1,0,N,-37.857064,145.232836,-37.86094,145.23229,,,-37.8576,145.22997,,,-37.8779,145.24279,,
435011223,32/735-741 Boronia Road,Wantirna,3152,450,House,3,1,1,0,N,-37.8468794,145.22354703,-37.85626,145.21651,,,-37.83843,145.2321,,,-37.8779,145.24279,,
435101779,37 Milpera Crescent,Wantirna,3152,780,House,4,2,2,0,N,-37.86211,145.2202,-37.86547,145.2192,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435100551,18a Templeton Street,Wantirna,3152,620,Townhouse,3,2,1,0,N,-37.863741,145.225583,-37.86547,145.2192,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435096059,59  Tyner Road,Wantirna South,3152,500,House,3,2,2,0,N,-37.875613,145.237771,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435095187,28 Kirrawee Avenue,Wantirna South,3152,450,House,3,1,2,0,N,-37.859472,145.247999,-37.86116,145.25498,,,-35.73042,143.91342,,,-37.8779,145.24279,,
434991423,1/256 Wantirna Road,Wantirna,3152,590,Townhouse,4,4,2,0,N,-37.83967632,145.22723285,-37.83641,145.23294,,,-37.83843,145.2321,,,-37.8779,145.24279,,
434583107,14 Matlock Road,Wantirna South,3152,420,House,3,1,2,0,N,-37.858779,145.251664,-37.86116,145.25498,,,-37.87321,145.25904,,,-37.8779,145.24279,,
435088031,12 Wondalea Crescent,Wantirna,3152,630,House,4,2,2,0,N,-37.858749,145.216667,-37.85626,145.21651,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435085019,24 St Clair Road,Wantirna,3152,430,House,3,1,4,0,N,-37.857032,145.249352,-37.86116,145.25498,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435078683,2/29 Gresford Road,Wantirna,3152,430,House,3,1,2,0,N,-37.84937449,145.23587055,-37.85338,145.23507,,,-37.8576,145.22997,,,-37.8779,145.24279,,
435078591,23 Fraser Crescent,Wantirna South,3152,505,House,4,2,2,0,N,-37.877603,145.228036,-37.88228,145.22958,,,-36.70818,142.21775,,,-37.8779,145.24279,,
435076555,2/267 Wantirna Road,Wantirna,3152,475,Townhouse,3,2,2,0,N,-37.84061,145.227612,-37.83641,145.23294,,,-37.83843,145.2321,,,-37.8779,145.24279,,
435073523,5/19 Earls Court,Wantirna South,3152,500,Townhouse,3,1,1,0,N,-37.87303409,145.2290386,-37.87253,145.23734,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435070871,301/436 Stud Road,Wantirna South,3152,430,Apartment,2,2,1,1,N,-37.87496698,145.23260478,-37.87253,145.23734,,,-35.73042,143.91342,,,-37.8779,145.24279,,
434744691,51 Viewmont Street,Wantirna South,3152,700,House,4,2,2,0,N,-37.88301441,145.23694058,-37.88228,145.22958,,,-37.88864,145.2362,,,-37.8779,145.24279,,
435055399,26 Stokes Road,Wantirna,3152,395,House,2,1,2,0,N,-37.852973,145.23523,-37.85338,145.23507,,,-37.8576,145.22997,,,-37.8779,145.24279,,
434846583,32 Harcrest Boulevard,Wantirna South,3152,760,House,5,3,2,0,N,-37.88196255,145.23571718,-37.88228,145.22958,,,-37.88864,145.2362,,,-37.8779,145.24279,,
435051235,8/1401 High Street Road,Wantirna South,3152,450,Unit,3,1,1,0,N,-37.87638006,145.2313056,-37.88228,145.22958,,,-37.88864,145.2362,,,-37.8779,145.24279,,
435135915,14 Old Orchard Drive,Wantirna South,3152,650,House,4,2,2,0,N,-37.867662,145.226842,-37.86547,145.2192,,,-36.32748,145.41558,,,-37.8779,145.24279,,
435103215,81 Wallace Road,Wantirna South,3152,440,House,3,2,2,0,N,-37.882143,145.242345,-37.87747,145.24291,,,-35.73042,143.91342,,,-37.8779,145.24279,,
435056111,5 Jenola Parade,Wantirna South,3152,550,House,4,2,2,0,N,-37.875741,145.21936,-37.88014,145.2153,,,-36.70818,142.21775,,,-37.8779,145.24279,,
435039907,14/745 Boronia Rd,Wantirna,3152,450,Townhouse,3,2,1,0,N,-37.84673119,145.2224537,-37.85626,145.21651,,,-37.83843,145.2321,,,-37.8779,145.24279,,
434803295,29 Dumfries Way,Wantirna,3152,450,House,3,1,2,0,N,-37.845374,145.244128,-37.84907,145.25305,,,-37.83843,145.2321,,,-37.8779,145.24279,,
435142831,2/7 Coorie Avenue,Bayswater,3153,415,Unit,2,1,1,0,N,-37.84703851,145.26821483,-37.84898,145.26576,,,-37.83903,145.262,,,-37.81563,145.28078,,
435137367,11 Winchester Drive,Bayswater North,3153,600,House,5,2,2,0,N,-37.826137,145.292167,-37.8288,145.29562,,,-37.8583,145.29327,,,-37.81563,145.28078,,
431971870,215 Bayswater Road,Bayswater North,3153,450,House,3,1,2,0,N,-37.821503,145.269267,-37.81841,145.26534,,,-37.92863,145.00755,,,-37.81563,145.28078,,
435120259,1/13 Neilson Street,Bayswater,3153,440,Unit,3,1,1,0,N,-37.84764341,145.27167069,-37.84898,145.26576,,,-37.83903,145.262,,,-37.81563,145.28078,,
435003387,4 Wilhelma Ave,Bayswater,3153,430,House,3,1,2,0,N,-37.85756302,145.26521074,-37.8549,145.26135,,,-37.87321,145.25904,,,-37.88042,145.28492,,
435100735,1 Aston Place,Bayswater,3153,480,Townhouse,3,1,1,0,N,-37.84291785,145.26167746,-37.8433,145.25936,,,-37.83903,145.262,,,-37.81563,145.28078,,
435099567,13 Westwood Drive,Bayswater North,3153,480,House,3,2,2,0,N,-37.834816,145.300307,-37.8288,145.29562,,,-37.8583,145.29327,,,-37.81563,145.28078,,
435092995,5/3 Wallace Avenue,Bayswater,3153,395,Unit,2,1,2,0,N,-37.848394,145.261962,-37.84898,145.26576,,,-37.83903,145.262,,,-37.8779,145.24279,,
435084071,3/13 Maple Street,Bayswater,3153,500,Townhouse,3,2,2,0,N,-37.84562689,145.26210368,-37.8433,145.25936,,,-37.83903,145.262,,,-37.81563,145.28078,,
435078127,78 Sasses Avenue,Bayswater,3153,370,House,3,1,2,0,N,-37.854867,145.258326,-37.8549,145.26135,,,-37.83903,145.262,,,-37.8779,145.24279,,
435073423,643 Dorset Road,Bayswater North,3153,495,House,3,1,3,0,N,-37.830065,145.287781,-37.8288,145.29562,,,-37.83903,145.262,,,-37.81563,145.28078,,
435067899,93 Canterbury Road,Bayswater North,3153,520,House,3,1,2,0,N,-37.824619,145.294372,-37.8288,145.29562,,,-37.8583,145.29327,,,-37.81563,145.28078,,
