Sub,Type,Year,Median_Price
Bentleigh,2 bedroom house,2018,458
Brighton,2 bedroom house,2018,600
Brighton East,2 bedroom house,2018,520
Carnegie,2 bedroom house,2018,450
Caulfield,2 bedroom house,2018,535
Cheltenham,2 bedroom house,2018,448
Elsternwick,2 bedroom house,2018,500
Hampton-Beaumaris,2 bedroom house,2018,520
Malvern,2 bedroom house,2018,630
Malvern East,2 bedroom house,2018,470
Mentone-Parkdale-Mordialloc,2 bedroom house,2018,450
Murrumbeena-Hughesdale,2 bedroom house,2018,420
Group Total,2 bedroom house,2018,470
Altona,2 bedroom house,2018,350
Footscray,2 bedroom house,2018,430
Keilor East-Avondale Heights,2 bedroom house,2018,400
Melton,2 bedroom house,2018,270
Newport-Spotswood,2 bedroom house,2018,450
St Albans-Deer Park,2 bedroom house,2018,320
Sunshine,2 bedroom house,2018,320
Sydenham,2 bedroom house,2018,330
Werribee-Hoppers Crossing,2 bedroom house,2018,310
West Footscray,2 bedroom house,2018,370
Williamstown,2 bedroom house,2018,485
Yarraville-Seddon,2 bedroom house,2018,475
Group Total,2 bedroom house,2018,380
Broadmeadows-Roxburgh Park,2 bedroom house,2018,338
Brunswick,2 bedroom house,2018,520
Coburg-Pascoe Vale South,2 bedroom house,2018,450
Craigieburn,2 bedroom house,2018,330
East Brunswick,2 bedroom house,2018,530
Essendon,2 bedroom house,2018,405
Gladstone Park-Tullamarine,2 bedroom house,2018,340
Keilor,2 bedroom house,2018,-
Moonee Ponds-Ascot Vale,2 bedroom house,2018,490
Oak Park-Glenroy-Fawkner,2 bedroom house,2018,360
Pascoe Vale-Coburg North,2 bedroom house,2018,400
Sunbury,2 bedroom house,2018,315
West Brunswick,2 bedroom house,2018,480
Group Total,2 bedroom house,2018,440
Bundoora-Greensborough-Hurstbridge,2 bedroom house,2018,360
Eltham-Research-Montmorency,2 bedroom house,2018,420
Fairfield-Alphington,2 bedroom house,2018,500
Heidelberg-Heidelberg West,2 bedroom house,2018,370
Ivanhoe-Ivanhoe East,2 bedroom house,2018,430
Mill Park-Epping,2 bedroom house,2018,335
Northcote,2 bedroom house,2018,570
Preston,2 bedroom house,2018,430
Reservoir,2 bedroom house,2018,360
Thomastown-Lalor,2 bedroom house,2018,335
Thornbury,2 bedroom house,2018,510
Whittlesea,2 bedroom house,2018,320
Group Total,2 bedroom house,2018,390
Bayswater,2 bedroom house,2018,350
Boronia,2 bedroom house,2018,323
Croydon-Lilydale,2 bedroom house,2018,365
Ferntree Gully,2 bedroom house,2018,330
Ringwood,2 bedroom house,2018,360
Rowville,2 bedroom house,2018,-
Wantirna-Scoresby,2 bedroom house,2018,393
Yarra Ranges,2 bedroom house,2018,340
Group Total,2 bedroom house,2018,355
Berwick,2 bedroom house,2018,340
Cranbourne,2 bedroom house,2018,315
Dandenong,2 bedroom house,2018,350
Dandenong North-Endeavour Hills,2 bedroom house,2018,298
Narre Warren-Hampton Park,2 bedroom house,2018,330
Noble Park,2 bedroom house,2018,330
Pakenham,2 bedroom house,2018,300
Springvale,2 bedroom house,2018,340
Group Total,2 bedroom house,2018,320
Dromana-Portsea,2 bedroom house,2018,315
Frankston,2 bedroom house,2018,340
Hastings-Flinders,2 bedroom house,2018,335
Mt Eliza-Mornington-Mt Martha,2 bedroom house,2018,393
Seaford-Carrum Downs,2 bedroom house,2018,335
Group Total,2 bedroom house,2018,330
Belmont-Grovedale,2 bedroom house,2018,320
Corio,2 bedroom house,2018,245
Geelong-Newcombe,2 bedroom house,2018,310
Herne Hill-Geelong West,2 bedroom house,2018,325
Lara,2 bedroom house,2018,300
Newtown,2 bedroom house,2018,325
North Geelong,2 bedroom house,2018,310
Group Total,2 bedroom house,2018,300
Ballarat,2 bedroom house,2018,260
Mount Clear-Buninyong,2 bedroom house,2018,245
Sebastopol-Delacombe,2 bedroom house,2018,250
Wendouree-Alfredton,2 bedroom house,2018,260
Group Total,2 bedroom house,2018,260
Bendigo,2 bedroom house,2018,255
Flora Hill-Bendigo East,2 bedroom house,2018,260
Golden Square-Kangaroo Flat,2 bedroom house,2018,250
North Bendigo,2 bedroom house,2018,260
Group Total,2 bedroom house,2018,260
Bairnsdale,2 bedroom house,2018,250
Benalla,2 bedroom house,2018,230
Castlemaine,2 bedroom house,2018,300
Echuca,2 bedroom house,2018,280
Hamilton,2 bedroom house,2018,225
Horsham,2 bedroom house,2018,250
Mildura,2 bedroom house,2018,250
Moe-Newborough,2 bedroom house,2018,198
Morwell,2 bedroom house,2018,190
Ocean Grove-Barwon Heads,2 bedroom house,2018,350
Portland,2 bedroom house,2018,220
Sale-Maffra,2 bedroom house,2018,248
Seymour,2 bedroom house,2018,-
Shepparton,2 bedroom house,2018,250
Swan Hill,2 bedroom house,2018,220
Torquay,2 bedroom house,2018,395
Traralgon,2 bedroom house,2018,250
Wanagaratta,2 bedroom house,2018,250
Warragul,2 bedroom house,2018,260
Warrnambool,2 bedroom house,2018,280
Wodonga,2 bedroom house,2018,270
Group Total,2 bedroom house,2018,250
Albert Park-Middle Park-West St Kilda,3 bedroom house,2018,950
Armadale,3 bedroom house,2018,950
Carlton North,3 bedroom house,2018,740
Carlton-Parkville,3 bedroom house,2018,788
CBD-St Kilda Rd,3 bedroom house,2018,-
Collingwood-Abbotsford,3 bedroom house,2018,750
Docklands,3 bedroom house,2018,-
East Melbourne,3 bedroom house,2018,-
East St Kilda,3 bedroom house,2018,745
Elwood,3 bedroom house,2018,850
Fitzroy,3 bedroom house,2018,825
Fitzroy North-Clifton Hill,3 bedroom house,2018,760
Flemington-Kensington,3 bedroom house,2018,595
North Melbourne-West Melbourne,3 bedroom house,2018,688
Port Melbourne,3 bedroom house,2018,800
Prahran-Windsor,3 bedroom house,2018,778
Richmond-Burnley,3 bedroom house,2018,775
South Melbourne,3 bedroom house,2018,800
South Yarra,3 bedroom house,2018,925
Southbank,3 bedroom house,2018,-
St Kilda,3 bedroom house,2018,773
Toorak,3 bedroom house,2018,1100
Group Total,3 bedroom house,2018,780
Balwyn,3 bedroom house,2018,550
Blackburn,3 bedroom house,2018,450
Box Hill,3 bedroom house,2018,470
Bulleen-Templestowe-Doncaster,3 bedroom house,2018,480
Burwood-Ashburton,3 bedroom house,2018,500
Camberwell-Glen Iris,3 bedroom house,2018,660
Canterbury-Surrey Hills-Mont Albert,3 bedroom house,2018,625
Chadstone-Oakleigh,3 bedroom house,2018,450
Clayton,3 bedroom house,2018,440
Doncaster East-Donvale,3 bedroom house,2018,455
East Hawthorn,3 bedroom house,2018,700
Glen Waverley-Mulgrave,3 bedroom house,2018,450
Hawthorn,3 bedroom house,2018,710
Kew,3 bedroom house,2018,670
Mount Waverley,3 bedroom house,2018,460
Nunawading-Mitcham,3 bedroom house,2018,435
Vermont-Forest Hill-Burwood East,3 bedroom house,2018,440
Group Total,3 bedroom house,2018,470
Aspendale-Chelsea-Carrum,3 bedroom house,2018,450
Bentleigh,3 bedroom house,2018,550
Brighton,3 bedroom house,2018,903
Brighton East,3 bedroom house,2018,650
Carnegie,3 bedroom house,2018,540
Caulfield,3 bedroom house,2018,660
Cheltenham,3 bedroom house,2018,525
Elsternwick,3 bedroom house,2018,750
Hampton-Beaumaris,3 bedroom house,2018,725
Malvern,3 bedroom house,2018,800
Malvern East,3 bedroom house,2018,600
Mentone-Parkdale-Mordialloc,3 bedroom house,2018,530
Murrumbeena-Hughesdale,3 bedroom house,2018,535
Group Total,3 bedroom house,2018,550
Altona,3 bedroom house,2018,380
Footscray,3 bedroom house,2018,480
Keilor East-Avondale Heights,3 bedroom house,2018,425
Melton,3 bedroom house,2018,320
Newport-Spotswood,3 bedroom house,2018,520
St Albans-Deer Park,3 bedroom house,2018,350
Sunshine,3 bedroom house,2018,350
Sydenham,3 bedroom house,2018,380
Werribee-Hoppers Crossing,3 bedroom house,2018,350
West Footscray,3 bedroom house,2018,420
Williamstown,3 bedroom house,2018,630
Yarraville-Seddon,3 bedroom house,2018,540
Group Total,3 bedroom house,2018,360
Broadmeadows-Roxburgh Park,3 bedroom house,2018,360
Brunswick,3 bedroom house,2018,660
Coburg-Pascoe Vale South,3 bedroom house,2018,525
Craigieburn,3 bedroom house,2018,370
East Brunswick,3 bedroom house,2018,670
Essendon,3 bedroom house,2018,460
Gladstone Park-Tullamarine,3 bedroom house,2018,380
Keilor,3 bedroom house,2018,440
Moonee Ponds-Ascot Vale,3 bedroom house,2018,565
Oak Park-Glenroy-Fawkner,3 bedroom house,2018,400
Pascoe Vale-Coburg North,3 bedroom house,2018,450
Sunbury,3 bedroom house,2018,353
West Brunswick,3 bedroom house,2018,580
Group Total,3 bedroom house,2018,395
Bundoora-Greensborough-Hurstbridge,3 bedroom house,2018,400
Eltham-Research-Montmorency,3 bedroom house,2018,460
Fairfield-Alphington,3 bedroom house,2018,648
Heidelberg-Heidelberg West,3 bedroom house,2018,425
Ivanhoe-Ivanhoe East,3 bedroom house,2018,580
Mill Park-Epping,3 bedroom house,2018,370
Northcote,3 bedroom house,2018,680
Preston,3 bedroom house,2018,490
Reservoir,3 bedroom house,2018,400
Thomastown-Lalor,3 bedroom house,2018,360
Thornbury,3 bedroom house,2018,600
Whittlesea,3 bedroom house,2018,360
Group Total,3 bedroom house,2018,395
Bayswater,3 bedroom house,2018,400
Boronia,3 bedroom house,2018,400
Croydon-Lilydale,3 bedroom house,2018,400
Ferntree Gully,3 bedroom house,2018,400
Ringwood,3 bedroom house,2018,420
Rowville,3 bedroom house,2018,420
Wantirna-Scoresby,3 bedroom house,2018,415
Yarra Ranges,3 bedroom house,2018,390
Group Total,3 bedroom house,2018,400
Berwick,3 bedroom house,2018,375
Cranbourne,3 bedroom house,2018,360
Dandenong,3 bedroom house,2018,380
Dandenong North-Endeavour Hills,3 bedroom house,2018,350
Narre Warren-Hampton Park,3 bedroom house,2018,360
Noble Park,3 bedroom house,2018,370
Pakenham,3 bedroom house,2018,350
Springvale,3 bedroom house,2018,390
Group Total,3 bedroom house,2018,360
Dromana-Portsea,3 bedroom house,2018,370
Frankston,3 bedroom house,2018,380
Hastings-Flinders,3 bedroom house,2018,380
Mt Eliza-Mornington-Mt Martha,3 bedroom house,2018,460
Seaford-Carrum Downs,3 bedroom house,2018,365
Group Total,3 bedroom house,2018,380
Belmont-Grovedale,3 bedroom house,2018,370
Corio,3 bedroom house,2018,280
Geelong-Newcombe,3 bedroom house,2018,340
Herne Hill-Geelong West,3 bedroom house,2018,370
Lara,3 bedroom house,2018,370
Newtown,3 bedroom house,2018,400
North Geelong,3 bedroom house,2018,350
Group Total,3 bedroom house,2018,350
Ballarat,3 bedroom house,2018,295
Mount Clear-Buninyong,3 bedroom house,2018,320
Sebastopol-Delacombe,3 bedroom house,2018,280
Wendouree-Alfredton,3 bedroom house,2018,300
Group Total,3 bedroom house,2018,300
Bendigo,3 bedroom house,2018,300
Flora Hill-Bendigo East,3 bedroom house,2018,305
Golden Square-Kangaroo Flat,3 bedroom house,2018,300
North Bendigo,3 bedroom house,2018,290
Group Total,3 bedroom house,2018,300
Bairnsdale,3 bedroom house,2018,300
Benalla,3 bedroom house,2018,273
Castlemaine,3 bedroom house,2018,340
Echuca,3 bedroom house,2018,330
Hamilton,3 bedroom house,2018,250
Horsham,3 bedroom house,2018,270
Mildura,3 bedroom house,2018,300
Moe-Newborough,3 bedroom house,2018,250
Morwell,3 bedroom house,2018,230
Ocean Grove-Barwon Heads,3 bedroom house,2018,400
Portland,3 bedroom house,2018,250
Sale-Maffra,3 bedroom house,2018,275
Seymour,3 bedroom house,2018,280
Shepparton,3 bedroom house,2018,290
Swan Hill,3 bedroom house,2018,270
Torquay,3 bedroom house,2018,460
Traralgon,3 bedroom house,2018,290
Wanagaratta,3 bedroom house,2018,290
Warragul,3 bedroom house,2018,320
Warrnambool,3 bedroom house,2018,330
Wodonga,3 bedroom house,2018,315
Group Total,3 bedroom house,2018,300
Albert Park-Middle Park-West St Kilda,4 bedroom house,2018,1200
Armadale,4 bedroom house,2018,1295
Carlton North,4 bedroom house,2018,910
Carlton-Parkville,4 bedroom house,2018,950
CBD-St Kilda Rd,4 bedroom house,2018,-
Collingwood-Abbotsford,4 bedroom house,2018,1020
Docklands,4 bedroom house,2018,-
East Melbourne,4 bedroom house,2018,-
East St Kilda,4 bedroom house,2018,873
Elwood,4 bedroom house,2018,1100
Fitzroy,4 bedroom house,2018,1100
Fitzroy North-Clifton Hill,4 bedroom house,2018,960
Flemington-Kensington,4 bedroom house,2018,750
North Melbourne-West Melbourne,4 bedroom house,2018,850
Port Melbourne,4 bedroom house,2018,1050
Prahran-Windsor,4 bedroom house,2018,1200
Richmond-Burnley,4 bedroom house,2018,950
South Melbourne,4 bedroom house,2018,1150
South Yarra,4 bedroom house,2018,1100
Southbank,4 bedroom house,2018,-
St Kilda,4 bedroom house,2018,1100
Toorak,4 bedroom house,2018,1575
Group Total,4 bedroom house,2018,1000
Balwyn,4 bedroom house,2018,750
Blackburn,4 bedroom house,2018,560
Box Hill,4 bedroom house,2018,595
Bulleen-Templestowe-Doncaster,4 bedroom house,2018,590
Burwood-Ashburton,4 bedroom house,2018,620
Camberwell-Glen Iris,4 bedroom house,2018,875
Canterbury-Surrey Hills-Mont Albert,4 bedroom house,2018,920
Chadstone-Oakleigh,4 bedroom house,2018,600
Clayton,4 bedroom house,2018,578
Doncaster East-Donvale,4 bedroom house,2018,595
East Hawthorn,4 bedroom house,2018,995
Glen Waverley-Mulgrave,4 bedroom house,2018,538
Hawthorn,4 bedroom house,2018,1000
Kew,4 bedroom house,2018,1000
Mount Waverley,4 bedroom house,2018,590
Nunawading-Mitcham,4 bedroom house,2018,528
Vermont-Forest Hill-Burwood East,4 bedroom house,2018,520
Group Total,4 bedroom house,2018,600
Aspendale-Chelsea-Carrum,4 bedroom house,2018,545
Bentleigh,4 bedroom house,2018,735
Brighton,4 bedroom house,2018,1300
Brighton East,4 bedroom house,2018,1050
Carnegie,4 bedroom house,2018,765
Caulfield,4 bedroom house,2018,850
Cheltenham,4 bedroom house,2018,650
Elsternwick,4 bedroom house,2018,1025
Hampton-Beaumaris,4 bedroom house,2018,1000
Malvern,4 bedroom house,2018,1100
Malvern East,4 bedroom house,2018,850
Mentone-Parkdale-Mordialloc,4 bedroom house,2018,700
Murrumbeena-Hughesdale,4 bedroom house,2018,700
Group Total,4 bedroom house,2018,795
Altona,4 bedroom house,2018,420
Footscray,4 bedroom house,2018,500
Keilor East-Avondale Heights,4 bedroom house,2018,550
Melton,4 bedroom house,2018,350
Newport-Spotswood,4 bedroom house,2018,665
St Albans-Deer Park,4 bedroom house,2018,400
Sunshine,4 bedroom house,2018,390
Sydenham,4 bedroom house,2018,440
Werribee-Hoppers Crossing,4 bedroom house,2018,390
West Footscray,4 bedroom house,2018,530
Williamstown,4 bedroom house,2018,790
Yarraville-Seddon,4 bedroom house,2018,650
Group Total,4 bedroom house,2018,400
Broadmeadows-Roxburgh Park,4 bedroom house,2018,425
Brunswick,4 bedroom house,2018,840
Coburg-Pascoe Vale South,4 bedroom house,2018,622
Craigieburn,4 bedroom house,2018,420
East Brunswick,4 bedroom house,2018,780
Essendon,4 bedroom house,2018,625
Gladstone Park-Tullamarine,4 bedroom house,2018,420
Keilor,4 bedroom house,2018,460
Moonee Ponds-Ascot Vale,4 bedroom house,2018,700
Oak Park-Glenroy-Fawkner,4 bedroom house,2018,468
Pascoe Vale-Coburg North,4 bedroom house,2018,570
Sunbury,4 bedroom house,2018,405
West Brunswick,4 bedroom house,2018,740
Group Total,4 bedroom house,2018,430
Bundoora-Greensborough-Hurstbridge,4 bedroom house,2018,425
Eltham-Research-Montmorency,4 bedroom house,2018,550
Fairfield-Alphington,4 bedroom house,2018,790
Heidelberg-Heidelberg West,4 bedroom house,2018,520
Ivanhoe-Ivanhoe East,4 bedroom house,2018,700
Mill Park-Epping,4 bedroom house,2018,420
Northcote,4 bedroom house,2018,798
Preston,4 bedroom house,2018,580
Reservoir,4 bedroom house,2018,450
Thomastown-Lalor,4 bedroom house,2018,420
Thornbury,4 bedroom house,2018,750
Whittlesea,4 bedroom house,2018,400
Group Total,4 bedroom house,2018,430
Bayswater,4 bedroom house,2018,440
Boronia,4 bedroom house,2018,450
Croydon-Lilydale,4 bedroom house,2018,500
Ferntree Gully,4 bedroom house,2018,460
Ringwood,4 bedroom house,2018,498
Rowville,4 bedroom house,2018,500
Wantirna-Scoresby,4 bedroom house,2018,500
Yarra Ranges,4 bedroom house,2018,488
Group Total,4 bedroom house,2018,490
Berwick,4 bedroom house,2018,420
Cranbourne,4 bedroom house,2018,410
Dandenong,4 bedroom house,2018,520
Dandenong North-Endeavour Hills,4 bedroom house,2018,415
Narre Warren-Hampton Park,4 bedroom house,2018,420
Noble Park,4 bedroom house,2018,410
Pakenham,4 bedroom house,2018,380
Springvale,4 bedroom house,2018,460
Group Total,4 bedroom house,2018,410
Dromana-Portsea,4 bedroom house,2018,480
Frankston,4 bedroom house,2018,450
Hastings-Flinders,4 bedroom house,2018,480
Mt Eliza-Mornington-Mt Martha,4 bedroom house,2018,600
Seaford-Carrum Downs,4 bedroom house,2018,450
Group Total,4 bedroom house,2018,480
Belmont-Grovedale,4 bedroom house,2018,430
Corio,4 bedroom house,2018,330
Geelong-Newcombe,4 bedroom house,2018,420
Herne Hill-Geelong West,4 bedroom house,2018,470
Lara,4 bedroom house,2018,440
Newtown,4 bedroom house,2018,500
North Geelong,4 bedroom house,2018,400
Group Total,4 bedroom house,2018,430
Ballarat,4 bedroom house,2018,360
Mount Clear-Buninyong,4 bedroom house,2018,383
Sebastopol-Delacombe,4 bedroom house,2018,350
Wendouree-Alfredton,4 bedroom house,2018,380
Group Total,4 bedroom house,2018,370
Bendigo,4 bedroom house,2018,380
Flora Hill-Bendigo East,4 bedroom house,2018,380
Golden Square-Kangaroo Flat,4 bedroom house,2018,348
North Bendigo,4 bedroom house,2018,330
Group Total,4 bedroom house,2018,350
Bairnsdale,4 bedroom house,2018,370
Benalla,4 bedroom house,2018,350
Castlemaine,4 bedroom house,2018,400
Echuca,4 bedroom house,2018,398
Hamilton,4 bedroom house,2018,315
Horsham,4 bedroom house,2018,350
Mildura,4 bedroom house,2018,355
Moe-Newborough,4 bedroom house,2018,290
Morwell,4 bedroom house,2018,290
Ocean Grove-Barwon Heads,4 bedroom house,2018,470
Portland,4 bedroom house,2018,315
Sale-Maffra,4 bedroom house,2018,350
Seymour,4 bedroom house,2018,360
Shepparton,4 bedroom house,2018,380
Swan Hill,4 bedroom house,2018,370
Torquay,4 bedroom house,2018,550
Traralgon,4 bedroom house,2018,360
Wanagaratta,4 bedroom house,2018,350
Warragul,4 bedroom house,2018,400
Warrnambool,4 bedroom house,2018,410
Wodonga,4 bedroom house,2018,390
Group Total,4 bedroom house,2018,380
Albert Park-Middle Park-West St Kilda,All properties,2018,560
Armadale,All properties,2018,490
Carlton North,All properties,2018,560
Carlton-Parkville,All properties,2018,410
CBD-St Kilda Rd,All properties,2018,495
Collingwood-Abbotsford,All properties,2018,475
Docklands,All properties,2018,550
East Melbourne,All properties,2018,500
East St Kilda,All properties,2018,400
Elwood,All properties,2018,430
Fitzroy,All properties,2018,555
Fitzroy North-Clifton Hill,All properties,2018,550
Flemington-Kensington,All properties,2018,420
North Melbourne-West Melbourne,All properties,2018,440
Port Melbourne,All properties,2018,600
Prahran-Windsor,All properties,2018,440
Richmond-Burnley,All properties,2018,515
South Melbourne,All properties,2018,520
South Yarra,All properties,2018,465
Southbank,All properties,2018,540
St Kilda,All properties,2018,420
Toorak,All properties,2018,500
Group Total,All properties,2018,480
Balwyn,All properties,2018,520
Blackburn,All properties,2018,430
Box Hill,All properties,2018,430
Bulleen-Templestowe-Doncaster,All properties,2018,480
Burwood-Ashburton,All properties,2018,460
Camberwell-Glen Iris,All properties,2018,490
Canterbury-Surrey Hills-Mont Albert,All properties,2018,490
Chadstone-Oakleigh,All properties,2018,450
Clayton,All properties,2018,400
Doncaster East-Donvale,All properties,2018,480
East Hawthorn,All properties,2018,440
Glen Waverley-Mulgrave,All properties,2018,475
Hawthorn,All properties,2018,400
Kew,All properties,2018,500
Mount Waverley,All properties,2018,480
Nunawading-Mitcham,All properties,2018,418
Vermont-Forest Hill-Burwood East,All properties,2018,450
Group Total,All properties,2018,450
Aspendale-Chelsea-Carrum,All properties,2018,420
Bentleigh,All properties,2018,485
Brighton,All properties,2018,650
Brighton East,All properties,2018,670
Carnegie,All properties,2018,420
Caulfield,All properties,2018,450
Cheltenham,All properties,2018,450
Elsternwick,All properties,2018,420
Hampton-Beaumaris,All properties,2018,550
Malvern,All properties,2018,475
Malvern East,All properties,2018,425
Mentone-Parkdale-Mordialloc,All properties,2018,420
Murrumbeena-Hughesdale,All properties,2018,420
Group Total,All properties,2018,460
Altona,All properties,2018,400
Footscray,All properties,2018,370
Keilor East-Avondale Heights,All properties,2018,410
Melton,All properties,2018,330
Newport-Spotswood,All properties,2018,475
St Albans-Deer Park,All properties,2018,350
Sunshine,All properties,2018,340
Sydenham,All properties,2018,390
Werribee-Hoppers Crossing,All properties,2018,360
West Footscray,All properties,2018,380
Williamstown,All properties,2018,495
Yarraville-Seddon,All properties,2018,460
Group Total,All properties,2018,370
Broadmeadows-Roxburgh Park,All properties,2018,360
Brunswick,All properties,2018,450
Coburg-Pascoe Vale South,All properties,2018,440
Craigieburn,All properties,2018,370
East Brunswick,All properties,2018,435
Essendon,All properties,2018,400
Gladstone Park-Tullamarine,All properties,2018,380
Keilor,All properties,2018,430
Moonee Ponds-Ascot Vale,All properties,2018,440
Oak Park-Glenroy-Fawkner,All properties,2018,380
Pascoe Vale-Coburg North,All properties,2018,400
Sunbury,All properties,2018,360
West Brunswick,All properties,2018,365
Group Total,All properties,2018,390
Bundoora-Greensborough-Hurstbridge,All properties,2018,390
Eltham-Research-Montmorency,All properties,2018,440
Fairfield-Alphington,All properties,2018,400
Heidelberg-Heidelberg West,All properties,2018,410
Ivanhoe-Ivanhoe East,All properties,2018,450
Mill Park-Epping,All properties,2018,370
Northcote,All properties,2018,495
Preston,All properties,2018,413
Reservoir,All properties,2018,370
Thomastown-Lalor,All properties,2018,350
Thornbury,All properties,2018,410
Whittlesea,All properties,2018,370
Group Total,All properties,2018,390
Bayswater,All properties,2018,380
Boronia,All properties,2018,380
Croydon-Lilydale,All properties,2018,400
Ferntree Gully,All properties,2018,400
Ringwood,All properties,2018,390
Rowville,All properties,2018,445
Wantirna-Scoresby,All properties,2018,430
Yarra Ranges,All properties,2018,380
Group Total,All properties,2018,400
Berwick,All properties,2018,400
Cranbourne,All properties,2018,380
Dandenong,All properties,2018,340
Dandenong North-Endeavour Hills,All properties,2018,350
Narre Warren-Hampton Park,All properties,2018,370
Noble Park,All properties,2018,350
Pakenham,All properties,2018,350
Springvale,All properties,2018,380
Group Total,All properties,2018,370
Dromana-Portsea,All properties,2018,375
Frankston,All properties,2018,355
Hastings-Flinders,All properties,2018,370
Mt Eliza-Mornington-Mt Martha,All properties,2018,460
Seaford-Carrum Downs,All properties,2018,365
Group Total,All properties,2018,375
Belmont-Grovedale,All properties,2018,360
Corio,All properties,2018,270
Geelong-Newcombe,All properties,2018,325
Herne Hill-Geelong West,All properties,2018,328
Lara,All properties,2018,365
Newtown,All properties,2018,360
North Geelong,All properties,2018,340
Group Total,All properties,2018,330
Ballarat,All properties,2018,285
Mount Clear-Buninyong,All properties,2018,320
Sebastopol-Delacombe,All properties,2018,275
Wendouree-Alfredton,All properties,2018,300
Group Total,All properties,2018,290
Bendigo,All properties,2018,280
Flora Hill-Bendigo East,All properties,2018,290
Golden Square-Kangaroo Flat,All properties,2018,295
North Bendigo,All properties,2018,290
Group Total,All properties,2018,290
Bairnsdale,All properties,2018,290
Benalla,All properties,2018,250
Castlemaine,All properties,2018,325
Echuca,All properties,2018,300
Hamilton,All properties,2018,240
Horsham,All properties,2018,260
Mildura,All properties,2018,280
Moe-Newborough,All properties,2018,210
Morwell,All properties,2018,210
Ocean Grove-Barwon Heads,All properties,2018,400
Portland,All properties,2018,250
Sale-Maffra,All properties,2018,270
Seymour,All properties,2018,273
Shepparton,All properties,2018,275
Swan Hill,All properties,2018,250
Torquay,All properties,2018,480
Traralgon,All properties,2018,275
Wanagaratta,All properties,2018,270
Warragul,All properties,2018,320
Warrnambool,All properties,2018,300
Wodonga,All properties,2018,300
Group Total,All properties,2018,280
Albert Park-Middle Park-West St Kilda,1 bedroom flat,2019,350
Armadale,1 bedroom flat,2019,360
Carlton North,1 bedroom flat,2019,370
Carlton-Parkville,1 bedroom flat,2019,390
CBD-St Kilda Rd,1 bedroom flat,2019,434
Collingwood-Abbotsford,1 bedroom flat,2019,410
Docklands,1 bedroom flat,2019,470
East Melbourne,1 bedroom flat,2019,400
East St Kilda,1 bedroom flat,2019,330
Elwood,1 bedroom flat,2019,350
Fitzroy,1 bedroom flat,2019,425
Fitzroy North-Clifton Hill,1 bedroom flat,2019,370
Flemington-Kensington,1 bedroom flat,2019,370
North Melbourne-West Melbourne,1 bedroom flat,2019,390
Port Melbourne,1 bedroom flat,2019,450
Prahran-Windsor,1 bedroom flat,2019,360
Richmond-Burnley,1 bedroom flat,2019,410
South Melbourne,1 bedroom flat,2019,420
South Yarra,1 bedroom flat,2019,400
Southbank,1 bedroom flat,2019,450
St Kilda,1 bedroom flat,2019,365
Toorak,1 bedroom flat,2019,350
Group Total,1 bedroom flat,2019,404
Balwyn,1 bedroom flat,2019,390
Blackburn,1 bedroom flat,2019,360
Box Hill,1 bedroom flat,2019,280
Bulleen-Templestowe-Doncaster,1 bedroom flat,2019,380
Burwood-Ashburton,1 bedroom flat,2019,240
Camberwell-Glen Iris,1 bedroom flat,2019,355
Canterbury-Surrey Hills-Mont Albert,1 bedroom flat,2019,380
Chadstone-Oakleigh,1 bedroom flat,2019,370
Clayton,1 bedroom flat,2019,295
Doncaster East-Donvale,1 bedroom flat,2019,370
East Hawthorn,1 bedroom flat,2019,378
Glen Waverley-Mulgrave,1 bedroom flat,2019,390
Hawthorn,1 bedroom flat,2019,320
Kew,1 bedroom flat,2019,390
Mount Waverley,1 bedroom flat,2019,370
Nunawading-Mitcham,1 bedroom flat,2019,330
Vermont-Forest Hill-Burwood East,1 bedroom flat,2019,330
Group Total,1 bedroom flat,2019,330
Aspendale-Chelsea-Carrum,1 bedroom flat,2019,283
Bentleigh,1 bedroom flat,2019,330
Brighton,1 bedroom flat,2019,400
Brighton East,1 bedroom flat,2019,-
Carnegie,1 bedroom flat,2019,310
Caulfield,1 bedroom flat,2019,305
Cheltenham,1 bedroom flat,2019,350
Elsternwick,1 bedroom flat,2019,325
Hampton-Beaumaris,1 bedroom flat,2019,360
Malvern,1 bedroom flat,2019,375
Malvern East,1 bedroom flat,2019,325
Mentone-Parkdale-Mordialloc,1 bedroom flat,2019,310
Murrumbeena-Hughesdale,1 bedroom flat,2019,300
Group Total,1 bedroom flat,2019,320
Altona,1 bedroom flat,2019,300
Footscray,1 bedroom flat,2019,275
Keilor East-Avondale Heights,1 bedroom flat,2019,350
Melton,1 bedroom flat,2019,338
Newport-Spotswood,1 bedroom flat,2019,295
St Albans-Deer Park,1 bedroom flat,2019,250
Sunshine,1 bedroom flat,2019,245
Sydenham,1 bedroom flat,2019,-
Werribee-Hoppers Crossing,1 bedroom flat,2019,290
West Footscray,1 bedroom flat,2019,270
Williamstown,1 bedroom flat,2019,335
Yarraville-Seddon,1 bedroom flat,2019,305
Group Total,1 bedroom flat,2019,280
Broadmeadows-Roxburgh Park,1 bedroom flat,2019,265
Brunswick,1 bedroom flat,2019,360
Coburg-Pascoe Vale South,1 bedroom flat,2019,330
Craigieburn,1 bedroom flat,2019,268
East Brunswick,1 bedroom flat,2019,380
Essendon,1 bedroom flat,2019,340
