id,address,suburb,postcode,price,propertyType,bedrooms,bathrooms,parkingSpaces,studies,furnished,latitude,longitude,closest_primary_lat,closest_primary_long,closest_secondary_lat,closest_secondary_long,closest_train_lat,closest_train_long,closest_tram_lat,closest_tram_long,closest_bus_lat,closest_bus_long,closest_park_lat,closest_park_long
434762331,50 Farmer Street,Richmond,3121,650,House,3,1,1,0,N,-37.82640819,145.009357,-37.81585,145.00824,-37.82251,145.01433,-37.82756,145.007555,-37.826901,145.009607,-37.834738,145.004646,-37.83096796,145.0029147
434545847,20 Bowen Street,Richmond,3121,595,House,2,1,0,0,N,-37.816167,144.993773,-37.81363,144.99574,-37.83731,144.96665,-37.814949,144.991423,-37.817909,144.993808,-37.815186,144.990519,-37.80745804,145.00663
434969803,80 Duke Street,Richmond,3121,660,House,3,1,0,0,N,-37.825572,145.003142,-37.82957,144.99907,-37.83731,144.96665,-37.82756,145.007555,-37.826259,145.00258,-37.834053,145.000381,-37.83096796,145.0029147
434650519,7/67 Elizabeth Street,Richmond,3121,300,Apartment,1,1,1,0,N,-37.81112,144.994807,-37.81363,144.99574,-37.81648,145.00226,-37.810398,144.9925,-37.809994,144.99576,-37.810424,144.991386,-37.80745804,145.00663
428753890,704/36 Regent Street,Richmond,3121,640,Apartment,2,2,1,0,N,-37.81125829,144.991996,-37.81363,144.99574,-37.80298,144.9905,-37.810398,144.9925,-37.809786,144.992551,-37.810424,144.991386,-37.80745804,145.00663
434965879,1 Miller Street,Richmond,3121,650,House,2,1,1,0,N,-37.820825,144.99108,-37.81363,144.99574,-37.83731,144.96665,-37.824074,144.990164,-37.817533,144.990217,-37.821125,144.989506,-37.83096796,145.0029147
434965559,16 Gordon Street,Cremorne,3121,600,House,2,1,0,0,N,-37.831115,144.995754,-37.82957,144.99907,-37.83615,144.99612,-37.8264,144.997066,-37.830472,144.996967,-37.834557,144.995538,-37.83096796,145.0029147
435067311,35 Hofert Lane,Richmond,3121,950,Townhouse,3,2,2,0,N,-37.82326017,145.009571,-37.81585,145.00824,-37.82251,145.01433,-37.82756,145.007555,-37.826901,145.009607,-37.834738,145.004646,-37.81742702,145.0151437
435065527,32 Jessie St,Richmond,3121,900,Townhouse,3,2,1,0,N,-37.82595109,144.9901368,-37.83169,144.9848,-37.83169,144.9848,-37.824074,144.990164,-37.824677,144.989057,-37.824442,144.989007,-37.83096796,145.0029147
434858927,6/26 Charlotte Street,Richmond,3121,475,Apartment,2,1,0,0,N,-37.82536181,144.999728,-37.82957,144.99907,-37.83731,144.96665,-37.8264,144.997066,-37.82576,144.998094,-37.834053,145.000381,-37.83096796,145.0029147
